"Date","Price","Open","High","Low","Vol.","Change %"
"07/08/2025","12.14","12.28","12.28","12.00","192.58K","0.83%"
"07/07/2025","12.04","12.44","12.56","12.04","597.57K","-2.59%"
"07/04/2025","12.36","12.48","12.66","12.30","795.51K","-1.75%"
"07/03/2025","12.58","12.44","12.66","12.38","935.51K","1.13%"
"07/02/2025","12.44","12.42","12.74","12.34","1.47M","0.16%"
"07/01/2025","12.42","12.30","12.44","12.14","800.76K","0.98%"
"06/30/2025","12.30","12.22","12.36","12.04","1.10M","0.16%"
"06/26/2025","12.28","11.76","12.28","11.76","1.01M","3.19%"
"06/25/2025","11.90","12.00","12.08","11.76","1.36M","-0.83%"
"06/24/2025","12.00","11.54","12.00","11.54","1.82M","4.17%"
"06/23/2025","11.52","11.52","11.66","11.26","549.77K","0.00%"
"06/20/2025","11.52","11.28","11.52","11.18","7.18M","2.31%"
"06/19/2025","11.26","11.26","11.44","11.12","4.67M","0.18%"
"06/18/2025","11.24","11.46","11.60","11.08","4.77M","-1.40%"
"06/17/2025","11.40","11.78","11.90","11.40","6.60M","-3.39%"
"06/16/2025","11.80","11.40","11.90","11.40","7.12M","2.97%"
"06/13/2025","11.46","11.50","11.70","11.36","5.74M","-3.70%"
"06/12/2025","11.90","12.10","12.10","11.78","5.86M","-1.82%"
"06/11/2025","12.12","11.86","12.56","11.86","7.77M","2.19%"
"06/10/2025","11.86","11.88","11.98","11.86","6.16M","0.00%"
"06/09/2025","11.86","11.98","12.10","11.82","5.77M","-1.00%"
"06/04/2025","11.98","11.76","12.14","11.74","8.28M","0.34%"
"06/03/2025","11.94","11.76","11.94","11.62","6.39M","1.36%"
"06/02/2025","11.78","11.80","11.98","11.72","6.28M","-1.17%"
"05/30/2025","11.92","11.80","11.94","11.78","6.58M","1.02%"
"05/29/2025","11.80","11.56","11.80","11.48","6.67M","2.08%"
"05/28/2025","11.56","11.44","11.58","11.36","5.38M","1.76%"
"05/27/2025","11.36","11.50","11.56","11.32","5.37M","-0.87%"
"05/26/2025","11.46","11.66","11.76","11.46","6.08M","-1.72%"
"05/23/2025","11.66","11.96","12.02","11.58","6.59M","-2.35%"
"05/22/2025","11.94","11.36","12.00","11.36","6.95M","4.92%"
"05/21/2025","11.38","11.28","11.46","11.28","5.37M","0.53%"
"05/20/2025","11.32","11.40","11.44","11.32","7.13M","-0.70%"
"05/19/2025","11.40","11.44","11.44","11.24","6.76M","-0.35%"
"05/16/2025","11.44","11.18","11.48","11.14","6.36M","2.33%"
"05/15/2025","11.18","10.92","11.50","10.82","7.65M","2.57%"
"05/14/2025","10.90","10.92","11.00","10.90","5.59M","0.74%"
"05/13/2025","10.82","10.98","11.06","10.82","5.68M","-1.28%"
"05/12/2025","10.96","10.98","11.10","10.96","6.46M","0.18%"
"05/09/2025","10.94","11.06","11.14","10.92","7.05M","-1.08%"
"05/08/2025","11.06","11.32","11.44","11.04","6.13M","-2.64%"
"05/07/2025","11.36","11.60","11.64","11.30","6.89M","-2.07%"
"05/06/2025","11.60","11.30","11.70","11.28","6.68M","2.84%"
"05/05/2025","11.28","11.48","11.56","11.26","7.75M","-1.74%"
"05/02/2025","11.48","11.20","11.76","11.20","8.57M","2.50%"
"05/01/2025","11.20","11.32","11.36","11.18","6.94M","-1.06%"
